,occ,0,1,emp_2018,wage,sqrt_emp
430,Museum technicians and conservators,4.5667577,7.7170153,14.8,44430.0,3.847076812334269
431,Music directors and composers,-10.809379,-5.778239,58.0,51670.0,7.615773105863909
432,Musical instrument repairers and tuners,14.432199,3.3160737,8.9,36650.0,2.9832867780352594
433,Musicians and singers,10.200347,-9.63088,175.6,,13.251415018781957
434,Natural sciences managers,-29.171452,0.96391463,71.4,129100.0,8.449852069711044
435,New accounts clerks,-4.9657097,-14.084108,44.3,36550.0,6.6558245169174945
436,Nuclear engineers,-36.53966,2.9203265,16.4,113460.0,4.049691346263317
437,Nuclear medicine technologists,-4.7995996,6.0157743,18.5,77950.0,4.301162633521313
438,Nuclear power reactor operators,-1.3119226,13.87943,5.3,100530.0,2.3021728866442674
439,Nuclear technicians,-0.24870667,14.37999,6.7,82080.0,2.588435821108957
440,Nurse anesthetists,-14.822759,6.906778,44.9,174790.0,6.700746227100382
441,Nurse midwives,-14.900717,5.20738,7.2,105030.0,2.6832815729997477
442,Nurse practitioners,-14.893216,4.9422092,211.3,109820.0,14.536161804272819
443,"Nursing instructors and teachers, postsecondary",-16.04908,4.996238,72.9,74600.0,8.538149682454625
444,Occupational therapists,-13.8064165,-7.6012173,143.3,84950.0,11.970797801316335
445,Occupational therapy aides,-4.8340673,3.0361137,8.0,29230.0,2.8284271247461903
446,Occupational therapy assistants,-3.79317,2.840808,47.1,61510.0,6.862943974709396
447,"Office clerks, general",7.7828426,-15.048394,3126.3,34040.0,55.91332578196364
448,"Office machine operators, except computer",19.412088,0.037335552,47.3,33450.0,6.877499545619759
449,Operating engineers and other construction equipment operators,16.507093,16.534256,418.0,48980.0,20.445048300260872
450,Operations research analysts,-30.821379,-11.839201,105.1,84810.0,10.251829105091442
451,Ophthalmic laboratory technicians,20.229952,-0.030491313,30.2,32620.0,5.495452665613635
452,Ophthalmic medical technicians,-6.8955956,3.8365057,59.5,36940.0,7.713624310270756
453,"Opticians, dispensing",-11.6791315,0.41367838,73.8,37840.0,8.590692637965812
454,Optometrists,-12.919748,3.5326939,44.4,115250.0,6.663332499583072
455,Oral and maxillofacial surgeons,-15.021858,7.663736,5.6,208000.0,2.3664319132398464
456,Order clerks,-5.942719,-6.3666706,146.0,34240.0,12.083045973594572
457,Orthodontists,-13.765064,1.8710606,7.2,208000.0,2.6832815729997477
458,Orthotists and prosthetists,-13.237687,8.328449,10.0,68410.0,3.1622776601683795
459,Outdoor power equipment and other small engine mechanics,20.455107,7.2010484,35.0,36100.0,5.916079783099616
460,Packaging and filling machine operators and tenders,25.876925,7.07477,392.1,30990.0,19.801515093547767
461,"Packers and packagers, hand",9.505544,12.758209,640.8,25910.0,25.314027731674784
462,"Painters, construction and maintenance",17.817253,9.946119,379.5,40280.0,19.480759738778158
463,"Painting, coating, and decorating workers",32.103092,-6.705291,12.8,32950.0,3.5777087639996634
464,"Paper goods machine setters, operators, and tenders",26.879402,7.6429157,100.4,39210.0,10.019980039900279
465,Paperhangers,26.611116,-5.013831,5.6,40520.0,2.3664319132398464
466,Paralegals and legal assistants,0.42440462,-17.854635,337.8,51740.0,18.379336223052235
467,Parking attendants,22.834988,-10.319298,149.8,25140.0,12.239281024635394
468,Parking enforcement workers,-7.0349584,14.408449,8.1,40920.0,2.8460498941515415
469,Parts salespersons,-6.639192,12.5923395,261.7,31710.0,16.17714437099453
470,Passenger attendants,24.36991,-12.032586,28.0,26570.0,5.291502622129181
471,"Patternmakers, metal and plastic",30.951534,9.357462,3.1,46910.0,1.760681686165901
472,"Patternmakers, wood",33.874733,3.0032642,0.7,64880.0,0.8366600265340756
473,"Paving, surfacing, and tamping equipment operators",21.01197,17.480343,46.6,40130.0,6.826419266350405
474,Payroll and timekeeping clerks,2.8427896,-17.509756,149.8,46180.0,12.239281024635394
475,Personal financial advisors,-25.732187,-6.516984,263.0,87850.0,16.217274740226856
476,Pest control workers,19.454607,-3.1528819,87.6,37330.0,9.359487165438072
477,"Pesticide handlers, sprayers, and applicators, vegetation",9.475098,10.457357,38.1,35840.0,6.172519744804386
478,Petroleum engineers,-34.366837,0.020083575,33.4,137720.0,5.779273310719955
479,"Petroleum pump system operators, refinery operators, and gaugers",7.6007056,18.208065,41.3,74180.0,6.4265076052238514
480,Pharmacists,-12.358272,3.248173,321.7,128090.0,17.93599732381782
481,Pharmacy aides,-7.2003946,7.805301,37.9,27850.0,6.156297588648554
482,Pharmacy technicians,-2.0172162,3.9119353,422.3,33950.0,20.549939172659368
483,"Philosophy and religion teachers, postsecondary",-22.744093,-14.009556,30.9,75240.0,5.558776843874918
484,Phlebotomists,-7.685542,5.8954077,132.6,35510.0,11.515207336387824
485,Photographers,9.941002,0.86156476,133.5,36280.0,11.554220008291344
486,Photographic process workers and processing machine operators,18.79072,1.4156077,12.3,32280.0,3.5071355833500366
487,"Physical scientists, all other",-32.242744,-6.7162933,22.8,109910.0,4.774934554525329
488,Physical therapist aides,11.901121,-7.5258217,50.6,27000.0,7.113367697511496
489,Physical therapist assistants,-2.7148404,2.3166788,98.7,58790.0,9.934787365615835
490,Physical therapists,-3.7052934,2.3245578,258.2,89440.0,16.068602926203635
491,Physician assistants,-9.939106,5.038009,125.5,112260.0,11.20267825120404
492,Physicists,-33.876007,-5.407807,18.2,122850.0,4.266145801540309
493,"Physics teachers, postsecondary",-33.063347,-2.6728323,17.1,89590.0,4.135214625627067
494,Pile driver operators,16.291203,19.614431,3.6,62600.0,1.8973665961010275
495,Pipelayers,23.804977,14.412312,38.9,38820.0,6.23698645180507
496,"Plant and system operators, all other",8.044846,20.194658,13.2,58390.0,3.63318042491699
497,Plasterers and stucco masons,15.792935,13.199403,27.7,45440.0,5.263078946776307
498,"Plating machine setters, operators, and tenders, metal and plastic",25.566662,7.6982145,42.1,33500.0,6.488451279003334
499,"Plumbers, pipefitters, and steamfitters",19.446325,14.28928,490.2,55160.0,22.140460699813815
500,Podiatrists,-10.979373,3.7974477,10.5,126240.0,3.24037034920393
501,Police and sheriff's patrol officers,-16.257082,10.6041975,688.4,63150.0,26.237377917772193
502,"Political science teachers, postsecondary",-25.442595,-14.234987,19.8,85930.0,4.449719092257398
503,Political scientists,-28.043776,-13.292197,7.0,122220.0,2.6457513110645907
504,Postal service clerks,13.392771,-6.4230843,78.1,48330.0,8.83742043811428
505,Postal service mail carriers,28.34377,-11.372681,326.6,51310.0,18.072077910411963
506,"Postal service mail sorters, processors, and processing machine operators",29.132624,-7.9958744,98.5,60140.0,9.924716620639604
507,Postmasters and mail superintendents,-18.312859,-0.309794,13.4,76900.0,3.6606010435446255
508,"Pourers and casters, metal",11.510732,20.539776,8.0,38620.0,2.8284271247461903
509,Power distributors and dispatchers,-8.594741,10.611092,11.2,90700.0,3.3466401061363023
510,Power plant operators,10.297492,19.872362,35.3,81990.0,5.941380311005179
511,Prepress technicians and workers,3.8833797,-2.2581108,30.2,40510.0,5.495452665613635
512,"Preschool teachers, except special education",20.00611,-13.891177,540.4,30520.0,23.246505113672463
513,"Pressers, textile, garment, and related materials",31.184391,-4.180891,38.3,24190.0,6.18869937870632
514,Print binding and finishing workers,28.077034,7.370732,45.2,33040.0,6.723094525588644
515,Printing press operators,32.45498,6.835551,181.4,36910.0,13.468481725866505
516,Private detectives and investigators,-4.6746197,-7.724979,36.2,50510.0,6.016643582596529
517,Probation officers and correctional treatment specialists,-9.727946,-11.106124,91.8,54290.0,9.581231653602787
518,Procurement clerks,2.7567875,-14.424069,68.5,43310.0,8.276472678623424
519,Producers and directors,-10.944401,-5.4812117,159.5,74420.0,12.62933094031509
520,"Production workers, all other",15.954327,10.079231,238.6,29800.0,15.446682491719702
521,"Production, planning, and expediting clerks",-7.320636,-1.8580989,378.5,48260.0,19.45507645834372
522,Proofreaders and copy markers,8.105291,-19.782003,10.3,40630.0,3.2093613071762426
523,"Property, real estate, and community association managers",-19.302288,-1.3952461,367.9,58760.0,19.180719485983836
524,Prosthodontists,-14.323728,8.804441,0.6,208000.0,0.7745966692414834
525,Psychiatric technicians,-9.163086,4.8546643,82.8,33780.0,9.09945053286186
526,"Psychologists, all other",-23.6238,-9.962731,19.8,101790.0,4.449719092257398
527,"Psychology teachers, postsecondary",-24.094938,-11.133192,46.8,76620.0,6.841052550594828
528,Public relations specialists,-21.458193,-6.58919,274.6,61150.0,16.57105910918189
529,Public safety telecommunicators,-8.696644,-10.41824,98.3,41910.0,9.91463564635635
530,"Pump operators, except wellhead pumpers",11.492896,19.0444,10.5,45040.0,3.24037034920393
531,Purchasing managers,-24.01326,-5.366882,76.9,121110.0,8.769264507357502
532,Radiation therapists,-5.350265,9.278339,18.5,85560.0,4.301162633521313
533,"Radio, cellular, and tower equipment installers and repairers",2.6686027,18.901602,15.0,55380.0,3.872983346207417
534,Radiologic technologists and technicians,-4.4034853,6.7413325,212.0,60510.0,14.560219778561036
535,Rail car repairers,25.08539,14.094777,24.3,56390.0,4.929503017546495
536,"Rail yard engineers, dinkey operators, and hostlers",14.850952,18.603123,5.2,49330.0,2.280350850198276
537,Rail-track laying and maintenance equipment operators,16.404879,14.776129,13.9,56100.0,3.7282703764614498
538,Railroad conductors and yardmasters,24.99799,4.681582,36.0,65990.0,6.0
539,Real estate brokers,-3.4379492,-13.896468,100.7,59720.0,10.03493896344168
540,Real estate sales agents,-18.761997,-3.682044,376.5,48930.0,19.403607911932255
541,Receptionists and information clerks,5.651241,-13.592072,1105.3,30050.0,33.24605239723959
